Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Daily return,Percentage Return,7 Day Moving Average
MSFT,2023-04-12,284.7900085,287.0100098,281.9599915,283.4899902,283.4899902,27403400,-1.300018311,-0.456483118,#DIV/0!
MSFT,2023-04-13,283.5899963,289.8999939,283.1700134,289.8399963,289.8399963,24222700,6.25,2.20388592,#DIV/0!
MSFT,2023-04-14,287,288.480011,283.6900024,286.1400146,286.1400146,20987900,-0.859985352,-0.299646464,#DIV/0!
MSFT,2023-04-17,289.9299927,291.6000061,286.1600037,288.7999878,288.7999878,23836200,-1.130004883,-0.389750944,#DIV/0!
MSFT,2023-04-18,291.5700073,291.7600098,287.0100098,288.3699951,288.3699951,20161800,-3.200012207,-1.097510761,#DIV/0!
MSFT,2023-04-19,285.9899902,289.0499878,284.5400085,288.4500122,288.4500122,17150300,2.460021973,0.860177648,#DIV/0!
MSFT,2023-04-20,285.25,289.0299988,285.0799866,286.1099854,286.1099854,23244400,0.859985352,0.301484786,#DIV/0!
MSFT,2023-04-21,285.0100098,286.269989,283.0599976,285.7600098,285.7600098,21676400,0.75,0.263148652,#DIV/0!
MSFT,2023-04-24,282.0899963,284.9500122,278.7200012,281.769989,281.769989,26611000,-0.320007324,-0.113441571,#DIV/0!
MSFT,2023-04-25,279.5100098,281.6000061,275.3699951,275.4200134,275.4200134,45772200,-4.089996338,-1.463273656,#DIV/0!
MSFT,2023-04-26,296.7000122,299.5700073,292.730011,295.3699951,295.3699951,64599200,-1.33001709,-0.448269982,#DIV/0!
MSFT,2023-04-27,295.9700012,305.2000122,295.25,304.8299866,304.8299866,46462600,8.859985352,2.993541682,#DIV/0!
MSFT,2023-04-28,304.0100098,308.9299927,303.3099976,307.2600098,307.2600098,36446700,3.25,1.069043747,#DIV/0!
MSFT,2023-05-01,306.9700012,308.6000061,305.1499939,305.5599976,305.5599976,21294100,-1.410003662,-0.459329464,#DIV/0!
MSFT,2023-05-02,307.7600098,309.1799927,303.9100037,305.4100037,305.4100037,26404400,-2.350006104,-0.763583971,#DIV/0!
MSFT,2023-05-03,306.6199951,308.6099854,304.0899963,304.3999939,304.3999939,22360800,-2.220001221,-0.724023631,#DIV/0!
MSFT,2023-05-04,306.2399902,307.7600098,303.3999939,305.4100037,305.4100037,22519900,-0.829986572,-0.271024882,#DIV/0!
MSFT,2023-05-05,305.7200012,311.9700012,304.269989,310.6499939,310.6499939,28181200,4.929992676,1.612584278,#DIV/0!
NFLX,2023-02-07,358.5100098,364.1799927,354.1799927,362.9500122,362.9500122,6289400,4.440002441,1.238459826,#DIV/0!
NFLX,2023-02-08,360.019989,368.1900024,358.3099976,366.8299866,366.8299866,6253200,6.809997559,1.89156096,#DIV/0!
NFLX,2023-02-09,372.4100037,373.8299866,361.7399902,362.5,362.5,6901100,-9.910003662,-2.661046579,#DIV/0!
NFLX,2023-02-10,359.1600037,362.1400146,347.1400146,347.3599854,347.3599854,7291100,-11.80001831,-3.285448878,#DIV/0!
NFLX,2023-02-13,349.5,359.7000122,344.25,358.5700073,358.5700073,7134400,9.070007324,2.595138004,#DIV/0!
NFLX,2023-02-14,357.5499878,363.75,353.3999939,359.9599915,359.9599915,4624800,2.410003662,0.674032651,#DIV/0!
NFLX,2023-02-15,356.6300049,362.8800049,354.2399902,361.4200134,361.4200134,3966000,4.790008545,1.34313111,#DIV/0!
NFLX,2023-02-16,355,361.5,350.3099976,350.7099915,350.7099915,5215700,-4.290008545,-1.208453111,#DIV/0!
NFLX,2023-02-17,347.9100037,349,342.4400024,347.9599915,347.9599915,5294700,0.049987793,0.014368024,#DIV/0!
NFLX,2023-02-21,342.8500061,344.1300049,336.4200134,337.5,337.5,5710300,-5.350006104,-1.560450928,#DIV/0!
NFLX,2023-02-22,337.5,341.9100037,332.8200073,334.8800049,334.8800049,4546200,-2.619995117,-0.77629485,#DIV/0!
NFLX,2023-02-23,331.230011,331.2799988,314.2999878,323.6499939,323.6499939,13238700,-7.58001709,-2.28844514,#DIV/0!
NFLX,2023-02-24,319.2999878,321.5,314.519989,317.1499939,317.1499939,6830700,-2.149993896,-0.673346063,#DIV/0!
NFLX,2023-02-27,323.8699951,330,322.1199951,323.0299988,323.0299988,6142600,-0.839996338,-0.259362198,#DIV/0!
NFLX,2023-02-28,323.7000122,327.6199951,321.1700134,322.1300049,322.1300049,3676100,-1.570007324,-0.485019235,#DIV/0!
NFLX,2023-03-01,321.5499878,326.6000061,312.3599854,313.480011,313.480011,4911300,-8.069976807,-2.509711433,#DIV/0!
NFLX,2023-03-02,310.9599915,315.5700073,310.3800049,311.8800049,311.8800049,4911000,0.920013428,0.295862314,#DIV/0!
NFLX,2023-03-03,315.4500122,317.4899902,310.8200073,315.1799927,315.1799927,5953300,-0.270019531,-0.0855982,#DIV/0!
NFLX,2023-03-06,317,323.2999878,311.8399963,312.0299988,312.0299988,5660700,-4.970001221,-1.567823729,#DIV/0!
NFLX,2023-03-07,312.6799927,314.2999878,306.6199951,308.4700012,308.4700012,4553100,-4.209991455,-1.346421758,#DIV/0!
